Year / Week Ended,Total Reserves (INR Crore),Total Reserves (USD Million),Foreign Currency Assets (INR Crore),Foreign Currency Assets (USD Million),Gold (INR Crore),Gold (USD Million),SDRs (INR Crore),SDRs (USD Million),Reserve Position in the IMF (INR Crore),Reserve Position in the IMF (USD Million)
08-Aug-2025,6031131,693618,5119819,533979,755391,86160,144304,18741,41521,4739
01-Aug-2025,6030417,688871,5013140,581001,735336,83998,162850,18562,41001,4694
25-Jul-2025,6040880,698192,5035487,583926,741529,85704,162741,18809,41125,4753
